date,open_btc,high_btc,low_btc,close_btc,volume_usd_btc,open_xau,high_xau,low_xau,close_xau,volume_xau
2014-11-28 00:00:00+00:00,363.59,381.34,360.57,376.28,8617.15,1188.92,1190.64,1165.06,1165.88,68176
2014-12-01 00:00:00+00:00,376.4,382.31,373.03,378.39,6660.56,1158.49,1220.8,1141.74,1210.8,138509
2014-12-02 00:00:00+00:00,378.39,382.86,375.23,379.25,6832.53,1211.04,1212.51,1191.85,1198.5,104108
2014-12-03 00:00:00+00:00,379.25,383.0,374.23,376.67,7908.29,1197.07,1214.96,1194.22,1209.47,66218
2014-12-04 00:00:00+00:00,376.67,378.99,360.01,365.2,8865.09,1208.55,1213.28,1201.17,1205.45,64221
2014-12-05 00:00:00+00:00,365.2,377.89,363.99,374.95,8951.16,1204.78,1207.37,1186.15,1191.87,63802
2014-12-08 00:00:00+00:00,376.87,377.45,364.6,364.61,9920.84,1187.34,1208.71,1186.96,1203.22,53029
2014-12-09 00:00:00+00:00,364.61,365.48,343.97,350.49,20940.84,1203.03,1238.09,1199.26,1230.62,92298
2014-12-10 00:00:00+00:00,350.49,353.74,347.23,348.13,6579.79,1235.6,1238.25,1224.62,1226.72,145586
2014-12-11 00:00:00+00:00,348.13,364.43,339.8,348.98,16533.38,1226.11,1232.72,1215.88,1227.57,173285
2014-12-12 00:00:00+00:00,348.98,358.59,348.0,354.48,8039.95,1227.21,1228.08,1214.29,1222.36,155731
2014-12-15 00:00:00+00:00,350.17,350.17,350.17,350.17,0.0,1221.51,1224.03,1190.46,1192.14,90298
2014-12-16 00:00:00+00:00,350.17,350.17,330.0,330.02,5677.83,1193.08,1223.34,1187.34,1196.3,116306
2014-12-17 00:00:00+00:00,331.56,335.99,315.23,321.1,23478.02,1195.53,1202.81,1183.4,1188.83,92993
2014-12-18 00:00:00+00:00,321.32,325.61,304.99,312.17,21637.58,1188.8,1213.69,1188.66,1197.92,72081
2014-12-19 00:00:00+00:00,310.48,320.0,307.11,318.0,15958.56,1197.88,1201.15,1193.39,1195.19,61025
2014-12-22 00:00:00+00:00,322.24,333.99,319.9,330.52,11646.6,1194.02,1203.21,1170.48,1175.5,57995
2014-12-23 00:00:00+00:00,330.52,338.99,327.49,335.49,7804.03,1176.58,1184.77,1172.47,1175.75,76122
2014-12-24 00:00:00+00:00,337.0,337.0,320.92,322.14,5544.8,1176.54,1180.95,1172.71,1174.38,32671
2014-12-26 00:00:00+00:00,319.0,332.0,316.64,330.88,6347.26,1186.39,1198.92,1185.31,1195.13,19974
2014-12-29 00:00:00+00:00,316.63,320.14,311.61,314.78,5901.06,1196.12,1197.37,1178.82,1182.94,79319
2014-12-30 00:00:00+00:00,314.78,316.77,310.0,311.94,9894.24,1182.69,1210.69,1180.63,1200.19,113495
2014-12-31 00:00:00+00:00,311.94,320.0,310.69,319.25,6097.71,1199.84,1203.71,1182.63,1186.83,52363
2015-01-02 00:00:00+00:00,316.31,317.01,311.96,316.51,3472.05,1186.94,1195.03,1167.33,1188.82,97717
2015-01-05 00:00:00+00:00,264.62,280.0,262.94,276.8,9752.08,1187.73,1207.28,1178,1204.32,122116
2015-01-06 00:00:00+00:00,276.8,276.8,276.8,276.8,0.0,1202.87,1222.92,1201.52,1218.35,82009
2015-01-07 00:00:00+00:00,276.8,276.8,276.8,276.8,0.0,1217.66,1218.48,1208.85,1210.52,68381
2015-01-08 00:00:00+00:00,276.8,276.8,276.8,276.8,0.0,1210.97,1216.54,1204.42,1208.69,57027
2015-01-09 00:00:00+00:00,276.8,276.8,276.8,276.8,0.0,1207.5,1223.91,1206.16,1222.36,65756
2015-01-12 00:00:00+00:00,270.4,272.43,263.54,268.16,7909.25,1223.9,1235.74,1217.4,1233.25,73324
2015-01-13 00:00:00+00:00,268.16,268.72,216.0,221.0,57653.9,1231.85,1244.02,1227.14,1230.77,95422
2015-01-14 00:00:00+00:00,221.0,230.89,152.4,162.0,123599.76,1231.54,1244.24,1224.89,1228.89,121171
2015-01-15 00:00:00+00:00,162.0,233.9,161.1,208.81,86158.17,1229.28,1266.64,1225.87,1262.31,120643
2015-01-16 00:00:00+00:00,214.77,223.15,198.04,206.6,34657.09,1262.97,1282.01,1254.87,1280.04,80925
2015-01-19 00:00:00+00:00,210.05,220.94,207.7,216.88,12796.47,1278.61,1279.03,1271.89,1276.66,42896
2015-01-21 00:00:00+00:00,211.08,228.9,205.0,228.59,22796.06,1294.74,1305.07,1284.48,1293.47,109866
2015-01-22 00:00:00+00:00,228.59,239.0,226.01,233.0,25809.37,1291.97,1307.53,1279.29,1301.38,106626
2015-01-23 00:00:00+00:00,233.0,240.0,225.55,233.03,15246.43,1300.63,1302.07,1284.29,1293.76,82609
2015-01-26 00:00:00+00:00,253.09,309.9,253.09,269.5,55355.5,1294.62,1299,1275.71,1281.22,89390
2015-01-27 00:00:00+00:00,269.5,278.51,243.1,262.99,21293.57,1280.55,1297.42,1272.07,1292.25,95334
2015-01-28 00:00:00+00:00,262.99,266.45,225.91,236.2,27595.15,1292.29,1293.8,1279.57,1284.72,80657
2015-01-29 00:00:00+00:00,236.2,242.18,220.0,234.75,26178.79,1284.66,1285.75,1251.88,1257.3,95034
2015-01-30 00:00:00+00:00,234.75,244.98,227.26,232.6,19832.17,1258.23,1284.63,1256.95,1283.56,74027
2015-02-02 00:00:00+00:00,214.8,241.98,214.8,237.97,6423.56,1280.42,1283.27,1266.3,1274.98,77929
2015-02-03 00:00:00+00:00,237.97,244.39,223.79,227.35,17756.67,1274.76,1285.55,1255.38,1259.87,105581
2015-02-04 00:00:00+00:00,227.35,231.0,220.02,227.0,14313.23,1261.74,1272.33,1256.54,1269.31,87264
2015-02-05 00:00:00+00:00,227.0,228.94,213.64,217.0,4314.11,1270.01,1273.82,1256.18,1264.52,90532
2015-02-06 00:00:00+00:00,216.81,225.86,214.95,222.88,4730.33,1266.87,1268.62,1228.21,1233.12,95619
2015-02-09 00:00:00+00:00,224.19,225.99,215.0,220.72,19478.94,1237.11,1243.65,1235.04,1239.27,55476
2015-02-10 00:00:00+00:00,220.72,222.0,215.0,220.95,6332.22,1238.6,1245.82,1230.84,1233.22,65148
2015-02-11 00:00:00+00:00,220.95,223.43,217.99,219.12,9298.5,1234.04,1238.59,1216.41,1217.18,63611
2015-02-12 00:00:00+00:00,219.55,223.07,218.17,222.46,4010.23,1218.3,1232.82,1218.02,1222.17,73890
2015-02-13 00:00:00+00:00,223.0,242.35,221.37,236.86,8077.55,1223.45,1234.82,1222.71,1228.99,68298
2015-02-16 00:00:00+00:00,234.01,241.23,229.2,236.55,12321.08,1228.34,1236.59,1228.02,1230.79,35244
2015-02-17 00:00:00+00:00,236.55,248.78,232.01,244.96,11898.41,1231.86,1233.84,1203.64,1209.18,72862
2015-02-18 00:00:00+00:00,244.96,247.0,232.24,235.79,6766.05,1208.9,1213.3,1197.42,1211.83,67989
2015-02-19 00:00:00+00:00,237.37,245.01,235.66,242.67,4730.24,1212.47,1222.81,1205.25,1206.77,72713
2015-02-20 00:00:00+00:00,240.59,248.96,239.41,246.1,4559.19,1207.31,1215.29,1198.19,1201.66,69132
2015-02-23 00:00:00+00:00,236.68,240.66,232.05,238.92,3706.77,1202.87,1210.22,1190.61,1201.03,55854
2015-02-24 00:00:00+00:00,239.65,240.88,236.3,239.69,2430.95,1202.16,1204.42,1190.3,1199.81,71210
2015-02-25 00:00:00+00:00,239.94,240.61,236.0,238.0,1735.6,1201.16,1211.77,1200.99,1204.51,65518
2015-02-26 00:00:00+00:00,237.97,238.55,234.01,236.7,3498.78,1204.67,1219.84,1203.49,1209.12,76910
2015-02-27 00:00:00+00:00,236.7,256.15,236.16,253.06,22016.89,1209.56,1219.17,1204.34,1212.78,65613
2015-03-02 00:00:00+00:00,258.34,274.81,256.0,274.0,9781.93,1213.85,1223.18,1204.54,1206.79,71866
2015-03-03 00:00:00+00:00,274.0,284.95,265.89,279.0,22213.49,1205.89,1214.76,1195.34,1203.4,75592
2015-03-04 00:00:00+00:00,279.0,283.88,264.94,269.83,14281.76,1204.71,1209.01,1198.21,1200.13,63211
2015-03-05 00:00:00+00:00,269.83,280.5,262.2,273.8,11360.44,1200.25,1209.35,1196.35,1198.47,60158
2015-03-06 00:00:00+00:00,273.8,276.46,269.0,273.26,6996.36,1199.08,1200.66,1163.81,1167.13,88833
2015-03-09 00:00:00+00:00,274.89,289.0,274.17,287.0,11984.22,1168.52,1175.29,1165.66,1166.6,45406
2015-03-10 00:00:00+00:00,287.0,296.8,283.96,290.24,12857.02,1161.56,1170.45,1154.93,1161.63,66083
2015-03-11 00:00:00+00:00,290.24,296.74,285.83,295.11,6784.55,1162.4,1165.19,1147.42,1154.43,67557
2015-03-12 00:00:00+00:00,295.11,297.95,289.0,295.56,8145.87,1154.95,1166.58,1148.57,1153.52,75999
2015-03-13 00:00:00+00:00,295.56,295.84,282.99,284.4,9178.74,1154.14,1161.83,1151.32,1158.18,60661
2015-03-16 00:00:00+00:00,286.4,294.26,285.78,289.7,6473.86,1156.68,1163.97,1150.23,1154.52,62388
2015-03-17 00:00:00+00:00,289.7,292.99,281.9,284.46,6470.43,1154.64,1159.74,1142.7,1149.24,71060
2015-03-18 00:00:00+00:00,284.46,284.48,249.02,257.29,21120.78,1149.37,1175.5,1145.84,1167.43,90034
2015-03-19 00:00:00+00:00,257.29,265.95,249.0,262.01,14750.19,1167.7,1177.71,1159.49,1170.81,93514
2015-03-20 00:00:00+00:00,262.01,265.27,257.0,262.09,5683.15,1170.66,1187.88,1168.65,1182.22,82226
2015-03-23 00:00:00+00:00,269.39,270.07,259.5,265.84,8901.07,1185.8,1191.47,1179.23,1189.32,72867
2015-03-24 00:00:00+00:00,265.84,266.52,241.84,246.93,17591.02,1189.57,1194.91,1185.34,1193.1,64734
2015-03-25 00:00:00+00:00,246.93,250.0,236.4,247.68,13448.56,1192.18,1199.57,1186.52,1195.17,50086
2015-03-26 00:00:00+00:00,247.68,253.75,244.91,249.46,8403.54,1195.13,1219.57,1194.39,1204.54,73284
2015-03-27 00:00:00+00:00,249.46,250.52,245.12,248.09,5845.29,1204.32,1206.05,1192.45,1198.09,61530
2015-03-30 00:00:00+00:00,242.19,248.86,236.52,247.69,7880.41,1197.39,1198.3,1182.23,1185.61,60571
2015-03-31 00:00:00+00:00,247.69,248.59,238.55,243.98,8180.68,1186.04,1190.62,1178.29,1183.57,68569
2015-04-01 00:00:00+00:00,243.98,246.83,239.32,245.98,6106.97,1183.76,1208.51,1180.74,1204.14,71299
2015-04-02 00:00:00+00:00,245.98,256.96,244.52,253.16,9880.07,1203.83,1207.21,1194.75,1202.07,64193
2015-04-03 00:00:00+00:00,253.16,256.67,251.23,253.79,5062.49,1201.41,1201.45,1199.64,1199.64,178
2015-04-06 00:00:00+00:00,260.5,262.98,254.0,255.83,5989.94,1215.64,1224.13,1213.82,1214.39,64901
2015-04-07 00:00:00+00:00,255.83,256.62,251.5,254.45,5990.22,1214.56,1215.66,1207.34,1208.91,55653
2015-04-08 00:00:00+00:00,254.45,254.96,243.06,244.09,11647.96,1208.49,1212.21,1197.34,1202.03,67102
2015-04-09 00:00:00+00:00,244.09,246.3,238.47,243.53,7990.92,1202.79,1203.18,1192.52,1194.15,54065
2015-04-10 00:00:00+00:00,243.53,243.94,231.0,234.77,11525.77,1194.59,1210.59,1193.19,1207.24,59643
2015-04-13 00:00:00+00:00,236.3,236.9,219.64,222.87,13823.98,1207.15,1209.41,1196.32,1198.39,70430
2015-04-14 00:00:00+00:00,222.87,224.79,210.0,216.42,18432.86,1198.93,1201.34,1183.87,1192.3,90805
2015-04-15 00:00:00+00:00,216.42,222.43,214.05,221.51,9766.32,1192.77,1204.48,1188.78,1202.35,81096
2015-04-16 00:00:00+00:00,221.51,229.67,221.51,227.59,11002.79,1202.37,1209.08,1194.63,1198.23,93548
2015-04-17 00:00:00+00:00,227.59,228.29,220.0,221.86,5767.04,1198.92,1207.6,1197.3,1204.27,82120
2015-04-20 00:00:00+00:00,222.89,226.51,221.43,224.07,6013.41,1205.29,1209.02,1191.27,1195.69,76820
2015-04-21 00:00:00+00:00,224.07,235.61,223.91,234.13,9531.32,1196.64,1204.15,1192.97,1202.05,58147
2015-04-22 00:00:00+00:00,234.13,238.64,229.1,233.0,11066.24,1202.45,1204.71,1185.68,1186.88,73679
