timestamp,open,high,low,close,RSI,MACD,MA_20,Trendline,volume
2014-11-28 00:00:00+00:00,363.59,381.34,360.57,376.28,,,,,8617.15
2014-11-29 00:00:00+00:00,376.42,386.6,372.25,376.72,,,,,7245.19
2014-11-30 00:00:00+00:00,376.57,381.99,373.32,373.34,,,,,3046.33
2014-12-01 00:00:00+00:00,376.4,382.31,373.03,378.39,,,,,6660.56
2014-12-02 00:00:00+00:00,378.39,382.86,375.23,379.25,,,,,6832.53
2014-12-03 00:00:00+00:00,379.25,383.0,374.23,376.67,,,,,7908.29
2014-12-04 00:00:00+00:00,376.67,378.99,360.01,365.2,,,,,8865.09
2014-12-05 00:00:00+00:00,365.2,377.89,363.99,374.95,,,,,8951.16
2014-12-06 00:00:00+00:00,374.95,376.99,371.31,375.07,,,,,2300.21
2014-12-07 00:00:00+00:00,375.07,377.5,373.16,376.87,,,,,2429.62
2014-12-08 00:00:00+00:00,376.87,377.45,364.6,364.61,,,,,9920.84
2014-12-09 00:00:00+00:00,364.61,365.48,343.97,350.49,,,,,20940.84
2014-12-10 00:00:00+00:00,350.49,353.74,347.23,348.13,,,,,6579.79
2014-12-11 00:00:00+00:00,348.13,364.43,339.8,348.98,25.3953,,,,16533.38
2014-12-12 00:00:00+00:00,348.98,358.59,348.0,354.48,33.99147,,,,8039.95
2014-12-13 00:00:00+00:00,354.48,354.95,347.03,351.45,31.81649,,,,3880.75
2014-12-14 00:00:00+00:00,351.45,351.98,348.96,350.17,30.91652,,,,561.33
2014-12-15 00:00:00+00:00,350.17,350.17,350.17,350.17,30.91652,,,,0.0
2014-12-16 00:00:00+00:00,350.17,350.17,330.0,330.02,20.38771,,,,5677.83
2014-12-17 00:00:00+00:00,331.56,335.99,315.23,321.1,17.54002,,361.117,361.117,23478.02
2014-12-18 00:00:00+00:00,321.32,325.61,304.99,312.17,15.24437,,357.9115,357.9115,21637.58
2014-12-19 00:00:00+00:00,310.48,320.0,307.11,318.0,22.3863,,354.9755,354.9755,15958.56
2014-12-20 00:00:00+00:00,317.23,333.0,316.52,329.99,34.5932,,352.808,352.808,11146.4
2014-12-21 00:00:00+00:00,332.58,332.98,318.78,323.15,31.54515,,350.046,350.046,6510.0
2014-12-22 00:00:00+00:00,322.24,333.99,319.9,330.52,37.89486,,347.6095,347.6095,11646.6
2014-12-23 00:00:00+00:00,330.52,338.99,327.49,335.49,41.81444,-11.99423,345.5505,345.5505,7804.03
2014-12-24 00:00:00+00:00,337.0,337.0,320.92,322.14,35.35906,-12.11728,343.3975,343.3975,5544.8
2014-12-25 00:00:00+00:00,320.92,324.23,316.63,319.39,34.1882,-12.29498,340.6195,340.6195,3924.9
2014-12-26 00:00:00+00:00,319.0,332.0,316.64,330.88,42.72241,-11.37751,338.41,338.41,6347.26
2014-12-27 00:00:00+00:00,330.97,330.97,311.63,315.89,36.13834,-11.72481,335.361,335.361,8639.54
2014-12-28 00:00:00+00:00,315.89,319.56,311.22,316.63,36.65732,-11.80427,332.962,332.962,4089.61
2014-12-29 00:00:00+00:00,316.63,320.14,311.61,314.78,35.87246,-11.87958,331.1765,331.1765,5901.06
2014-12-30 00:00:00+00:00,314.78,316.77,310.0,311.94,34.64609,-12.02976,329.367,329.367,9894.24
2014-12-31 00:00:00+00:00,311.94,320.0,310.69,319.25,40.30319,-11.4272,327.8805,327.8805,6097.71
2015-01-01 00:00:00+00:00,319.25,321.0,312.6,316.31,38.84675,-11.05941,325.972,325.972,3223.06
2015-01-02 00:00:00+00:00,316.31,317.01,311.96,316.51,39.00822,-10.62926,324.225,324.225,3472.05
2015-01-03 00:00:00+00:00,316.51,316.58,285.0,286.01,27.20928,-12.60418,321.017,321.017,20350.46
2015-01-04 00:00:00+00:00,286.01,289.81,255.0,264.62,22.14936,-15.71416,316.7395,316.7395,42650.57
2015-01-05 00:00:00+00:00,264.62,280.0,262.94,276.8,30.11848,-17.00005,314.0785,314.0785,9752.08
2015-01-06 00:00:00+00:00,276.8,276.8,276.8,276.8,30.11848,-17.81379,311.8635,311.8635,0.0
2015-01-07 00:00:00+00:00,276.8,276.8,276.8,276.8,30.11848,-18.24832,310.095,310.095,0.0
2015-01-08 00:00:00+00:00,276.8,276.8,276.8,276.8,30.11848,-18.38081,308.035,308.035,0.0
2015-01-09 00:00:00+00:00,276.8,276.8,276.8,276.8,30.11848,-18.27514,305.3755,305.3755,0.0
2015-01-10 00:00:00+00:00,276.8,276.8,276.8,276.8,30.11848,-17.98409,303.058,303.058,0.0
2015-01-11 00:00:00+00:00,276.8,276.8,276.8,276.8,30.11848,-17.55112,300.372,300.372,0.0
2015-01-12 00:00:00+00:00,270.4,272.43,263.54,268.16,26.84392,-17.70111,297.0055,297.0055,7909.25
2015-01-13 00:00:00+00:00,268.16,268.72,216.0,221.0,16.37729,-21.37895,291.9485,291.9485,57653.9
2015-01-14 00:00:00+00:00,221.0,230.89,152.4,162.0,10.73695,-28.72337,284.079,284.079,123599.76
2015-01-15 00:00:00+00:00,162.0,233.9,161.1,208.81,31.0317,-30.41608,277.9755,277.9755,86158.17
2015-01-16 00:00:00+00:00,214.77,223.15,198.04,206.6,30.67708,-31.57195,272.511,272.511,34657.09
2015-01-17 00:00:00+00:00,206.6,212.84,192.17,200.1,29.60547,-32.63627,266.6845,266.6845,19933.78
2015-01-18 00:00:00+00:00,200.1,222.0,195.02,211.42,33.9338,-32.1952,261.5165,261.5165,18205.49
2015-01-19 00:00:00+00:00,210.05,220.94,207.7,216.88,35.97853,-31.04718,256.7635,256.7635,12796.47
2015-01-20 00:00:00+00:00,217.84,217.84,201.98,211.08,34.74823,-30.2566,251.355,251.355,14234.73
2015-01-21 00:00:00+00:00,211.08,228.9,205.0,228.59,41.27682,-27.89558,246.969,246.969,22796.06
2015-01-22 00:00:00+00:00,228.59,239.0,226.01,233.0,42.8283,-25.37609,242.7935,242.7935,25809.37
2015-01-23 00:00:00+00:00,233.0,240.0,225.55,233.03,42.83937,-23.11055,240.1445,240.1445,15246.43
2015-01-24 00:00:00+00:00,233.03,249.99,230.03,249.99,48.86406,-19.71925,239.413,239.413,13633.14
2015-01-25 00:00:00+00:00,249.99,257.0,241.33,253.09,49.90342,-16.59023,238.2275,238.2275,28139.7
2015-01-26 00:00:00+00:00,253.09,309.9,253.09,269.5,55.10537,-12.6406,237.8625,237.8625,55355.5
2015-01-27 00:00:00+00:00,269.5,278.51,243.1,262.99,52.7646,-9.92143,237.172,237.172,21293.57
2015-01-28 00:00:00+00:00,262.99,266.45,225.91,236.2,44.40522,-9.81505,235.142,235.142,27595.15
2015-01-29 00:00:00+00:00,236.2,242.18,220.0,234.75,43.99891,-9.73552,233.0395,233.0395,26178.79
2015-01-30 00:00:00+00:00,234.75,244.98,227.26,232.6,43.36531,-9.73378,230.8295,230.8295,19832.17
2015-01-31 00:00:00+00:00,232.6,234.8,215.75,217.98,39.22846,-10.78775,227.8885,227.8885,19706.27
2015-02-01 00:00:00+00:00,217.98,220.81,208.48,214.8,38.37103,-11.74425,225.2205,225.2205,6189.01
2015-02-02 00:00:00+00:00,214.8,241.98,214.8,237.97,47.39336,-10.51149,226.069,226.069,6423.56
2015-02-03 00:00:00+00:00,237.97,244.39,223.79,227.35,44.19937,-10.27305,229.3365,229.3365,17756.67
2015-02-04 00:00:00+00:00,227.35,231.0,220.02,227.0,44.0939,-9.99708,230.246,230.246,14313.23
2015-02-05 00:00:00+00:00,227.0,228.94,213.64,217.0,41.07791,-10.46465,230.766,230.766,4314.11
2015-02-06 00:00:00+00:00,216.81,225.86,214.95,222.88,43.52403,-10.24268,231.905,231.905,4730.33
2015-02-07 00:00:00+00:00,223.37,231.14,221.77,228.61,45.88182,-9.49494,232.7645,232.7645,6356.04
2015-02-08 00:00:00+00:00,228.3,232.89,219.7,224.19,44.34392,-9.1535,233.13,233.13,5456.94
2015-02-09 00:00:00+00:00,224.19,225.99,215.0,220.72,43.1219,-9.05848,233.612,233.612,19478.94
2015-02-10 00:00:00+00:00,220.72,222.0,215.0,220.95,43.23357,-8.86246,233.23,233.23,6332.22
2015-02-11 00:00:00+00:00,220.95,223.43,217.99,219.12,42.51832,-8.75387,232.536,232.536,9298.5
2015-02-12 00:00:00+00:00,219.55,223.07,218.17,222.46,44.32861,-8.30259,232.0075,232.0075,4010.23
2015-02-13 00:00:00+00:00,223.0,242.35,221.37,236.86,51.43062,-6.70569,231.351,231.351,8077.55
2015-02-14 00:00:00+00:00,237.0,259.31,236.9,257.9,59.5502,-3.69973,231.5915,231.5915,10813.61
2015-02-15 00:00:00+00:00,256.99,265.89,227.75,234.01,49.443,-3.20824,229.817,229.817,18474.58
2015-02-16 00:00:00+00:00,234.01,241.23,229.2,236.55,50.40677,-2.58397,228.495,228.495,12321.08
2015-02-17 00:00:00+00:00,236.55,248.78,232.01,244.96,53.56323,-1.39455,228.933,228.933,11898.41
2015-02-18 00:00:00+00:00,244.96,247.0,232.24,235.79,49.83845,-1.17829,228.985,228.985,6766.05
2015-02-19 00:00:00+00:00,237.37,245.01,235.66,242.67,52.50695,-0.44659,229.4885,229.4885,4730.24
2015-02-20 00:00:00+00:00,240.59,248.96,239.41,246.1,53.82577,0.40539,230.8945,230.8945,4559.19
2015-02-21 00:00:00+00:00,245.48,247.48,244.0,245.87,53.71805,1.04993,232.448,232.448,1553.36
2015-02-22 00:00:00+00:00,245.41,247.42,232.48,236.68,49.45892,0.80983,232.3835,232.3835,6739.67
2015-02-23 00:00:00+00:00,236.68,240.66,232.05,238.92,50.48934,0.79119,232.962,232.962,3706.77
2015-02-24 00:00:00+00:00,239.65,240.88,236.3,239.69,50.86022,0.82899,233.5965,233.5965,2430.95
2015-02-25 00:00:00+00:00,239.94,240.61,236.0,238.0,49.97537,0.71434,234.6465,234.6465,1735.6
2015-02-26 00:00:00+00:00,237.97,238.55,234.01,236.7,49.26534,0.51267,235.3375,235.3375,3498.78
2015-02-27 00:00:00+00:00,236.7,256.15,236.16,253.06,57.45701,1.6539,236.56,236.56,22016.89
2015-02-28 00:00:00+00:00,253.06,254.29,245.2,252.98,57.4082,2.52279,237.9995,237.9995,3613.22
2015-03-01 00:00:00+00:00,253.47,260.0,245.0,255.81,58.74345,3.40056,239.754,239.754,5062.1
2015-03-02 00:00:00+00:00,258.34,274.81,256.0,274.0,66.09992,5.50056,242.4065,242.4065,9781.93
2015-03-03 00:00:00+00:00,274.0,284.95,265.89,279.0,67.79958,7.48204,245.4005,245.4005,22213.49
2015-03-04 00:00:00+00:00,279.0,283.88,264.94,269.83,61.69068,8.21771,247.769,247.769,14281.76
2015-03-05 00:00:00+00:00,269.83,280.5,262.2,273.8,63.23513,9.01713,249.616,249.616,11360.44
2015-03-06 00:00:00+00:00,273.8,276.46,269.0,273.26,62.86389,9.49763,250.384,250.384,6996.36
2015-03-07 00:00:00+00:00,273.26,279.48,270.0,275.59,63.85006,9.95171,252.463,252.463,5605.63
2015-03-08 00:00:00+00:00,275.59,277.59,271.12,274.89,63.30615,10.13823,254.38,254.38,4455.34
2015-03-09 00:00:00+00:00,274.89,289.0,274.17,287.0,68.33212,11.13487,256.482,256.482,11984.22
2015-03-10 00:00:00+00:00,287.0,296.8,283.96,290.24,69.53445,12.04727,259.2045,259.2045,12857.02
2015-03-11 00:00:00+00:00,290.24,296.74,285.83,295.11,71.29836,13.01332,261.8265,261.8265,6784.55
2015-03-12 00:00:00+00:00,295.11,297.95,289.0,295.56,71.46278,13.6578,264.2995,264.2995,8145.87
2015-03-13 00:00:00+00:00,295.56,295.84,282.99,284.4,61.98011,13.11683,266.226,266.226,9178.74
2015-03-14 00:00:00+00:00,284.4,287.69,280.46,282.7,60.65966,12.4079,268.527,268.527,5616.62
2015-03-15 00:00:00+00:00,282.7,287.75,281.42,286.4,62.53069,12.00622,270.901,270.901,2426.65
2015-03-16 00:00:00+00:00,286.4,294.26,285.78,289.7,64.16757,11.81795,273.4015,273.4015,6473.86
2015-03-17 00:00:00+00:00,289.7,292.99,281.9,284.46,59.70722,11.11775,275.7245,275.7245,6470.43
2015-03-18 00:00:00+00:00,284.46,284.48,249.02,257.29,43.01216,8.27506,276.754,276.754,21120.78
2015-03-19 00:00:00+00:00,257.29,265.95,249.0,262.01,45.84509,6.33011,277.2015,277.2015,14750.19
2015-03-20 00:00:00+00:00,262.01,265.27,257.0,262.09,45.89418,4.74052,277.657,277.657,5683.15
2015-03-21 00:00:00+00:00,262.09,262.62,256.25,259.8,44.64648,3.25842,277.8565,277.8565,4622.93
2015-03-22 00:00:00+00:00,259.8,272.0,259.24,269.39,50.69205,2.82511,277.626,277.626,5709.7
2015-03-23 00:00:00+00:00,269.39,270.07,259.5,265.84,48.57702,2.17024,276.968,276.968,8901.07
2015-03-24 00:00:00+00:00,265.84,266.52,241.84,246.93,39.1957,0.12394,275.823,275.823,17591.02
2015-03-25 00:00:00+00:00,246.93,250.0,236.4,247.68,39.69316,-1.42087,274.517,274.517,13448.56
2015-03-26 00:00:00+00:00,247.68,253.75,244.91,249.46,40.92837,-2.473,273.327,273.327,8403.54
2015-03-27 00:00:00+00:00,249.46,250.52,245.12,248.09,40.24513,-3.37843,271.952,271.952,5845.29
2015-03-28 00:00:00+00:00,248.09,253.83,247.17,252.31,43.38052,-3.71267,270.823,270.823,5943.83
2015-03-29 00:00:00+00:00,252.31,252.96,239.96,242.19,38.20356,-4.73952,268.5825,268.5825,6591.6
2015-03-30 00:00:00+00:00,242.19,248.86,236.52,247.69,42.23805,-5.05128,266.455,266.455,7880.41
2015-03-31 00:00:00+00:00,247.69,248.59,238.55,243.98,40.32555,-5.53393,263.8985,263.8985,8180.68
2015-04-01 00:00:00+00:00,243.98,246.83,239.32,245.98,41.85403,-5.68946,261.4195,261.4195,6106.97
2015-04-02 00:00:00+00:00,245.98,256.96,244.52,253.16,47.09318,-5.17371,259.8575,259.8575,9880.07
2015-04-03 00:00:00+00:00,253.16,256.67,251.23,253.79,47.53983,-4.66042,258.412,258.412,5062.49
2015-04-04 00:00:00+00:00,253.79,255.85,250.76,253.45,47.30771,-4.23228,256.7645,256.7645,2579.58
2015-04-05 00:00:00+00:00,253.45,261.0,251.65,260.5,52.48801,-3.28622,255.3045,255.3045,5807.32
2015-04-06 00:00:00+00:00,260.5,262.98,254.0,255.83,49.04813,-2.88009,253.873,253.873,5989.94
2015-04-07 00:00:00+00:00,255.83,256.62,251.5,254.45,48.04609,-2.63916,253.731,253.731,5990.22
2015-04-08 00:00:00+00:00,254.45,254.96,243.06,244.09,41.23526,-3.24676,252.835,252.835,11647.96
2015-04-09 00:00:00+00:00,244.09,246.3,238.47,243.53,40.89778,-3.73048,251.907,251.907,7990.92
