timestamp,open_btc,high_btc,low_btc,close_btc,RSI_btc,MACD_btc,MA_20_btc,Trendline_btc,volume_btc,open_xau,high_xau,low_xau,close_xau,RSI_xau,MACD_xau,MA_20_xau,Trendline_xau,volume_xau
2014-12-23 00:00:00+00:00,330.52,338.99,327.49,335.49,41.81444,-11.99423,345.5505,345.5505,7804.03,1176.58,1184.77,1172.47,1175.75,42.24633,-2.83938,1200.1135,1200.1135,76122
2014-12-24 00:00:00+00:00,337.0,337.0,320.92,322.14,35.35906,-12.11728,343.3975,343.3975,5544.8,1176.54,1180.95,1172.71,1174.38,41.83214,-4.21235,1198.9545,1198.9545,32671
2014-12-26 00:00:00+00:00,319.0,332.0,316.64,330.88,42.72241,-11.37751,338.41,338.41,6347.26,1186.39,1198.92,1185.31,1195.13,49.85167,-3.58477,1199.18,1199.18,19974
2014-12-29 00:00:00+00:00,316.63,320.14,311.61,314.78,35.87246,-11.87958,331.1765,331.1765,5901.06,1196.12,1197.37,1178.82,1182.94,45.85225,-4.02465,1200.033,1200.033,79319
2014-12-30 00:00:00+00:00,314.78,316.77,310.0,311.94,34.64609,-12.02976,329.367,329.367,9894.24,1182.69,1210.69,1180.63,1200.19,51.75119,-2.94734,1199.5025,1199.5025,113495
2014-12-31 00:00:00+00:00,311.94,320.0,310.69,319.25,40.30319,-11.4272,327.8805,327.8805,6097.71,1199.84,1203.71,1182.63,1186.83,47.44052,-3.13547,1198.919,1198.919,52363
2015-01-02 00:00:00+00:00,316.31,317.01,311.96,316.51,39.00822,-10.62926,324.225,324.225,3472.05,1186.94,1195.03,1167.33,1188.82,48.13353,-3.08839,1197.8865,1197.8865,97717
2015-01-05 00:00:00+00:00,264.62,280.0,262.94,276.8,30.11848,-17.00005,314.0785,314.0785,9752.08,1187.73,1207.28,1178.0,1204.32,53.29869,-1.77983,1197.83,1197.83,122116
2015-01-06 00:00:00+00:00,276.8,276.8,276.8,276.8,30.11848,-17.81379,311.8635,311.8635,0.0,1202.87,1222.92,1201.52,1218.35,57.43107,0.38487,1199.154,1199.154,82009
2015-01-07 00:00:00+00:00,276.8,276.8,276.8,276.8,30.11848,-18.24832,310.095,310.095,0.0,1217.66,1218.48,1208.85,1210.52,54.53103,1.45186,1199.519,1199.519,68381
2015-01-08 00:00:00+00:00,276.8,276.8,276.8,276.8,30.11848,-18.38081,308.035,308.035,0.0,1210.97,1216.54,1204.42,1208.69,53.84667,2.1253,1198.4225,1198.4225,57027
2015-01-09 00:00:00+00:00,276.8,276.8,276.8,276.8,30.11848,-18.27514,305.3755,305.3755,0.0,1207.5,1223.91,1206.16,1222.36,58.079,3.71918,1198.2045,1198.2045,65756
2015-01-12 00:00:00+00:00,270.4,272.43,263.54,268.16,26.84392,-17.70111,297.0055,297.0055,7909.25,1223.9,1235.74,1217.4,1233.25,61.13647,5.79429,1198.4885,1198.4885,73324
2015-01-13 00:00:00+00:00,268.16,268.72,216.0,221.0,16.37729,-21.37895,291.9485,291.9485,57653.9,1231.85,1244.02,1227.14,1230.77,60.06214,7.15621,1198.909,1198.909,95422
2015-01-14 00:00:00+00:00,221.0,230.89,152.4,162.0,10.73695,-28.72337,284.079,284.079,123599.76,1231.54,1244.24,1224.89,1228.89,59.21267,7.99173,1200.7465,1200.7465,121171
2015-01-15 00:00:00+00:00,162.0,233.9,161.1,208.81,31.0317,-30.41608,277.9755,277.9755,86158.17,1229.28,1266.64,1225.87,1262.31,67.9031,11.22124,1204.047,1204.047,120643
2015-01-16 00:00:00+00:00,214.77,223.15,198.04,206.6,30.67708,-31.57195,272.511,272.511,34657.09,1262.97,1282.01,1254.87,1280.04,71.38629,15.03797,1208.6075,1208.6075,80925
2015-01-19 00:00:00+00:00,210.05,220.94,207.7,216.88,35.97853,-31.04718,256.7635,256.7635,12796.47,1278.61,1279.03,1271.89,1276.66,69.8305,17.58728,1212.5445,1212.5445,42896
2015-01-21 00:00:00+00:00,211.08,228.9,205.0,228.59,41.27682,-27.89558,246.969,246.969,22796.06,1294.74,1305.07,1284.48,1293.47,72.984,20.72514,1217.4585,1217.4585,109866
2015-01-22 00:00:00+00:00,228.59,239.0,226.01,233.0,42.8283,-25.37609,242.7935,242.7935,25809.37,1291.97,1307.53,1279.29,1301.38,74.34302,23.5784,1223.7525,1223.7525,106626
2015-01-23 00:00:00+00:00,233.0,240.0,225.55,233.03,42.83937,-23.11055,240.1445,240.1445,15246.43,1300.63,1302.07,1284.29,1293.76,70.65568,24.93729,1229.653,1229.653,82609
2015-01-26 00:00:00+00:00,253.09,309.9,253.09,269.5,55.10537,-12.6406,237.8625,237.8625,55355.5,1294.62,1299.0,1275.71,1281.22,64.9467,24.71743,1234.995,1234.995,89390
2015-01-27 00:00:00+00:00,269.5,278.51,243.1,262.99,52.7646,-9.92143,237.172,237.172,21293.57,1280.55,1297.42,1272.07,1292.25,67.43885,25.14337,1239.851,1239.851,95334
2015-01-28 00:00:00+00:00,262.99,266.45,225.91,236.2,44.40522,-9.81505,235.142,235.142,27595.15,1292.29,1293.8,1279.57,1284.72,64.08895,24.58987,1244.94,1244.94,80657
2015-01-29 00:00:00+00:00,236.2,242.18,220.0,234.75,43.99891,-9.73552,233.0395,233.0395,26178.79,1284.66,1285.75,1251.88,1257.3,53.6401,21.68864,1247.7955,1247.7955,95034
